CHARTER NO	NAME	CITY	STATE	CERT	RSSD
17525	Capitol National Bank	Lansing	MI	24199	285544
5737	CapTex Bank, National Association	Trenton	TX	5558	419460
412	Cayuga Lake National Bank	Union Springs	NY	6954	63201
23323	Cedar Hill National Bank	Charlotte	NC 	34478	2651899
7524	Cendera Bank, National Association	Bells	TX	3098	89957
20448	Center National Bank	Litchfield	MN	10976	1017957
22311	CenterState Bank, National Association	Winter Haven	FL	33555	1929247
4284	Central National Bank	Junction City	KS	4702	234355
16626	Central National Bank	Waco	TX	22396	428060
24617	CenTrust Bank, National Association	Northbrook	IL	58158	3377235
25137	CFBank, National Association	Worthington	OH 	28263	767974
24755	Chain Bridge Bank, National Association	Mclean	VA	58595	3597211
9405	Champlain National Bank	Elizabethtown	NY	7356	126012
23158	Chester National Bank	Chester	IL	30220	231279
23950	Chino Commercial Bank, National Association	Chino	CA	35366	2925620
24106	CIBC National Trust Company	Atlanta	GA	91325	975751
25079	CIT Bank, National Association	Pasadena	CA 	58978	3918898
1461	Citibank, N.A.	Sioux Falls	SD	7213	476810
18410	Citicorp Trust Delaware, National Association	Greenville	DE	25677	449038
24571	Citizens Bank, National Association	Providence	RI	57957	3303298
23834	Citizens Bank, National Association	Abilene	TX	12309	617051
25088	Citizens Community Federal National Association	Altoona	WI 	57265	962890
16076	Citizens National Bank	Sevierville	TN	20954	717737
5484	Citizens National Bank	Cameron	TX	3127	59352
17456	Citizens National Bank	Crockett	TX	24085	700252
14273	Citizens National Bank at Brownwood	Brownwood	TX	14779	233358
14435	Citizens National Bank of Albion	Albion	IL	15760	853747
13522	Citizens National Bank of Cheboygan	Cheboygan	MI	5018	773742
8515	Citizens National Bank of Crosbyton	Crosbyton	TX	3158	901451
12955	Citizens National Bank of Greater St. Louis	Maplewood	MO	4549	870650
13516	Citizens National Bank of Texas	Waxahachie	TX	5574	552161
20184	Citizens National Bank, National Association	Bossier City	LA	26381	594853
22968	City First Bank of D.C., National Association	Washington	DC	34352	2697963
14695	City National Bank	Los Angeles	CA	17281	63069
17652	City National Bank	Corsicana	TX	24367	697950
15977	City National Bank of Florida	Miami	FL	20234	814430
16142	City National Bank of New Jersey	Newark	NJ	21111	567905
14807	City National Bank of West Virginia	Charleston	WV	17735	1011526
15649	Clare Bank, National Association	Platteville	WI	1022	988144
13731	Classic Bank, National Association	Cameron	TX	3126	182951
14347	CNB Bank & Trust, National Association	Carlinville	IL	3775	613343
24861	Coastal Carolina National Bank	Myrtle Beach	SC	58864	3821822
8004	Colorado National Bank	Denver	CO 	13986	403254
16593	Columbia National Bank	Columbia	IL	22312	1006344
21527	Comerica Bank & Trust, National Association	Ann Arbor	MI	1596	772446
24359	Commerce National Bank & Trust	Winter Park	FL	57429	3148613
14371	Commercial Bank of Texas, National Association	Nacogdoches	TX	1209	885869
15257	Commercial National Bank of Texarkana	Texarkana	TX	19024	794149
16553	Commonwealth National Bank	Mobile	AL	22229	578237
8531	Community Bank, National Association	Canton	NY	6989	202907
7518	Community First Bank, National Association	Forest	OH	6584	579319
24080	Community First National Bank	Manhattan	KS	35585	2907019
18394	Community National Bank	Seneca	KS	25665	354552
24347	Community National Bank	Monett	MO	57395	3121308
15417	Community National Bank	Dayton	TN	19272	785932
17002	Community National Bank	Hondo	TX	23431	643452
18054	Community National Bank	Midland	TX	24897	293053
1368	Community National Bank	Derby	VT	6271	270504
21389	Community National Bank & Trust	Chanute	KS	27046	923752
14898	Community National Bank & Trust of Texas	Corsicana	TX	18185	738769
15389	Community National Bank in Monmouth	Monmouth	IL	19230	775241
18233	Community National Bank of Okarche	Okarche	OK	25161	371559
21699	Community West Bank, National Association	Goleta	CA	27572	1412712
12898	CommunityBank of Texas, National Association	Beaumont	TX	3363	774262
23148	Computershare Trust Company, National Association	Canton	MA	34629	2600039
23664	Connecticut Community Bank, National Association	Westport	CT	34876	2756909
15543	Consumers National Bank	Minerva	OH	19482	477321
16325	Continental National Bank	Miami	FL	21578	837037
24859	Cornerstone Bank, National Association	Lexington	VA	58859	3816163
24114	Cornerstone National Bank & Trust Company	Palatine	IL	57061	2929392
23771	Cortrust Bank National Association	Mitchell	SD	6063	61355
24290	Country Club Trust Company, National Association	Kansas City	MO	57402	3058114
22594	Credit First National Association	Brook Park	OH 	33855	2122997
20291	Credit One Bank, National Association	Las Vegas	NV 	25620	639567
17828	Crockett National Bank	San Antonio	TX	24561	1015467
23574	Crystal Lake Bank & Trust Company, National Association	Crystal Lake	IL	34681	2624400
10254	Cumberland Valley National Bank & Trust Company	London	KY	2691	647218
24604	Dakota Community Bank & Trust, National Association	Hebron	ND	15728	815156
15980	Dallas Capital Bank, National Association	Dallas	TX	20727	384652
20547	Delta National Bank and Trust Company	New York	NY	26633	65513
24622	Department Stores National Bank	Sioux Falls	SD 	58180	3382547
23852	Desjardins Bank, National Association	Hallandale	FL	33565	1940747
18608	Deutsche Bank National Trust Company	Los Angeles	CA	26732	670560
24452	Deutsche Bank Trust Company, National Association	New York	NY	34056	2325882
661	DNB First, National Association	Downingtown	PA	7464	71318
12877	DNB National Bank	Clear Lake	SD	3977	401559
24249	Douglas National Bank	Douglas	GA	57230	3049635
23097	DSRM National Bank	Albuquerque	NM 	34331	2502825
18431	Eastbank, National Association	New York	NY	25749	98717
15748	Eastern National Bank	Miami	FL	20026	171133
23329	Edison National Bank	Fort Myers	FL	34489	2594419
24493	EH National Bank	Beverly Hills	CA	57734	3320576
24679	Embassy National Bank	Lawrenceville	GA	58413	3482045
24777	Empire National Bank	Islandia	NY	58632	3706013
25125	Esquire Bank, National Association	Jericho	NY 	58140	3447820
11583	Evans Bank, National Association	Angola	NY	6947	292908
24907	Evercore Trust Company, National Association	Wilmington	DE	58927	3939240
17000	Evergreen National Bank	Evergreen	CO	23404	427858
15974	Executive National Bank	Miami	FL	20711	1002430
13778	Extraco Banks, National Association	Temple	TX	5551	537560
24356	F&M Community Bank, National Association	Preston	MN	10967	171759
24373	Falcon National Bank	Foley	MN	57603	3184228
6375	Farmers National Bank	Prophetstown	IL	3732	933041
11933	Farmers National Bank	Phillipsburg	KS	4611	137559
14466	Farmers National Bank of Griggsville	Griggsville	IL	15928	166849
5629	FCN Bank, National Association	Brookville	IN	4319	321947
24496	Fidelity Bank of Florida, National Association	Merritt Island	FL	33198	1516423
24719	Finemark National Bank & Trust	Fort Myers	FL 	58486	3547131
6769	First & Farmers National Bank, Inc.	Somerset	KY	2738	721949
24758	First American Bank, National Association	Hudson	WI	58593	3595682
15386	First American National Bank	Iuka	MS	19226	786340
14564	First Bankers Trust Company, National Association	Quincy	IL	16501	344647
24169	First Century Bank, National Association	Gainesville	GA	57123	2997748
24670	First Citizens Bank of Polson, National Association	Polson	MT	21478	620752
5263	First Citizens National Bank	Dyersburg	TN	4972	133850
6671	First Colorado National Bank	Paonia	CO	3047	587752
17862	First Commercial Bank, National Association	Seguin	TX	24603	400365
17694	First Community National Bank	Cuba	MO	1639	619859
24120	First Community Trust, National Association	Dubuque	IA	57179	2973041
2068	First Dakota National Bank	Yankton	SD	4028	441256
22351	First Farmers & Merchants National Bank	Fairmont	MN	33131	1470150
13544	First Farmers & Merchants National Bank	Luverne	MN	5186	917854
25025	First Federal Community Bank, National Association	Dover	OH 	29787	540775
47	First Financial Bank, National Association	Terre Haute	IN	4382	693345
4166	First Financial Bank, National Association	Abilene	TX	3066	470050
24421	First Financial Trust & Asset Management Company, National Association	Abilene	TX	57757	3213735
21882	First Financial Trust, National Association	Wakefield	MA	27479	1369870
10118	First Hope Bank, A National Banking Association	Hope	NJ	6354	434203
10045	First Mid Bank & Trust, National Association	Mattoon	IL	3705	762447
16579	First National Bank	Hamilton	AL	22271	330239
10004	First National Bank	Paragould	AR	3887	42448
3105	First National Bank	Waverly	IA	4519	376442
10465	First National Bank	Cloverdale	IN	4324	60648
14328	First National Bank	Arcadia	LA	15059	109659
446	First National Bank	Damariscotta	ME	4256	439404
6813	First National Bank	Bagley	MN	5087	392255
7647	First National Bank	Chisholm	MN	5113	371755
14786	First National Bank	Alamogordo	NM	17643	823450
9888	First National Bank	Heavener	OK	4111	195456
14252	First National Bank	Fort Pierre	SD	14712	355858
21793	First National Bank	Oldham	SD	25894	944355
14886	First National Bank	Jasper	TX	18150	975555
10230	First National Bank	Paducah	TX	3377	1014965
23182	First National Bank	Rotan	TX	34455	2490285
18609	First National Bank	Spearman	TX	26219	266066
20078	First National Bank	Wichita Falls	TX	26543	375566
9295	First National Bank	Altavista	VA	6811	979629
9952	First National Bank & Trust	Elk City	OK	4086	114457
14275	First National Bank & Trust Co. of Williston	Williston	ND	14801	248455
1926	First National Bank & Trust Company	Clinton	IL	3639	32234
5052	First National Bank & Trust Company of McAlester	McAlester	OK	4145	830355
12072	First National Bank Alaska	Anchorage	AK	16130	114260
3248	First National Bank Albany/Breckenridge	Albany	TX	3067	340751
10697	First National Bank and Trust	Atmore	AL	2779	670430
3601	First National Bank and Trust	Phillipsburg	KS	4756	183958
7890	First National Bank and Trust	London	KY	2704	717513
8029	First National Bank and Trust Co. of Bottineau	Bottineau	ND	3902	974558
18430	First National Bank and Trust Company	Shawnee	OK	25738	396253
13677	First National Bank and Trust Company of Ardmore	Ardmore	OK	4037	984258
15407	First National Bank and Trust Company of Weatherford	Weatherford	OK	19263	538950
14184	First National Bank at Darlington	Darlington	WI	14468	57040
25144	First National Bank Baird	Baird	TX 	3086	75558
13329	First National Bank in Cimarron	Cimarron	KS	4638	677354
14168	First National Bank in DeRidder	DeRidder	LA	14427	480433
13991	First National Bank in Fairfield	Fairfield	IA	13853	616148
11916	First National Bank in Frankfort	Frankfort	KS	4668	923350
14370	First National Bank in Fredonia	Fredonia	KS	13798	844455
14144	First National Bank in Howell	Howell	MI	14370	755047
14294	First National Bank in New Bremen	New Bremen	OH	14836	204826
10913	First National Bank in Okeene	Okeene	OK	4161	310950
14217	First National Bank in Olney	Olney	IL	14567	412845
13557	First National Bank in Ord	Ord	NE	5460	850054
10637	First National Bank in Philip	Philip	SD	3999	538754
13975	First National Bank in Pinckneyville	Pinckneyville	IL	13813	340443
14821	First National Bank in Port Lavaca	Port Lavaca	TX	17811	855264
14769	First National Bank in Taylorville	Taylorville	IL	17572	177443
14150	First National Bank in Tigerton	Tigerton	WI	14400	74449
1794	First National Bank Minnesota	St. Peter	MN	5247	197759
8476	First National Bank North	Walker	MN	5269	805755
18214	First National Bank Northwest Florida	Panama City	FL	25122	216230
14905	First National Bank of Alvin	Alvin	TX	18282	354057
14740	First National Bank of America	East Lansing	MI	17438	413141
7337	First National Bank of Anderson	Anderson	TX	3075	362155
3640	First National Bank of Beardstown	Beardstown	IL	3607	368933
18162	First National Bank of Benton	Benton	LA	25065	47452
13675	First National Bank of Bosque County	Valley Mills	TX	5564	198961
14993	First National Bank of Brookfield	Brookfield	IL	18564	465038
17001	First National Bank of Burleson	Burleson	TX	23430	240954
5850	First National Bank of Central Texas	Waco	TX	3325	369659
14637	First National Bank of Chadron	Chadron	NE	16859	239752
15284	First National Bank of Clarksdale	Clarksdale	MS	19070	11640
22327	First National Bank of Coffee County	Douglas	GA	33506	1892154
24458	First National Bank of Decatur County	Bainbridge	GA	57694	3232370
20026	First National Bank of Dublin	Dublin	TX	26228	648550
13637	First National Bank of Eastern Arkansas	Forrest City	AR	3863	251745
14842	First National Bank of Fort Stockton	Fort Stockton	TX	17913	397456
4410	First National Bank of Giddings	Giddings	TX	3217	324153
15158	First National Bank of Gillette	Gillette	WY	18880	890050
15572	First National Bank of Griffin	Griffin	GA	169	563233
23692	First National Bank of Hereford	Hereford	TX	34918	2759629
4208	First National Bank of Huntsville	Huntsville	TX	3269	583352
6101	First National Bank of Kansas	Burlington	KS	4794	614256
2592	First National Bank of Kentucky	Carrollton	KY	2735	907444
15171	First National Bank of Lake Jackson	Lake Jackson	TX	18895	560353
6030	First National Bank of Las Animas	Las Animas	CO	3034	513256
12523	First National Bank of Louisiana	Crowley	LA	4288	575834
4076	First National Bank of McGregor	Mc Gregor	TX	3330	895055
24637	First National Bank of Michigan	Kalamazoo	MI	58259	3404467
15579	First National Bank of Muscatine	Muscatine	IA	961	893248
14436	First National Bank of Nokomis	Nokomis	IL	15763	330248
10406	First National Bank of North Arkansas	Berryville	AR	3854	864846
11397	First National Bank of Oklahoma	Oklahoma City	OK	4211	525053
209	First National Bank of Omaha	Omaha	NE	5452	527954
13478	First National Bank of Pana	Pana	IL	3720	860147
20976	First National Bank of Pasco	Dade City	FL	26829	82033
249	First National Bank of Pennsylvania	Greenville	PA	7888	379920
14592	First National Bank of Picayune	Picayune	MS	16612	568939
14619	First National Bank of Pulaski	Pulaski	TN	15572	972732
7087	First National Bank of River Falls	River Falls	WI	5364	956255
14680	First National Bank of Scotia	Scotia	NY	11501	472616
10680	First National Bank of South Carolina	Holly Hill	SC	2107	347022
18063	First National Bank of South Padre Island	South Padre Island	TX	24902	346566
14437	First National Bank of Steeleville	Steeleville	IL	1049	129349
15550	First National Bank of Tennessee	Livingston	TN	19502	283737
14882	First National Bank of Wauchula	Wauchula	FL	18136	89135
5674	First National Bank of Winnsboro	Winnsboro	TX	5590	501767
5750	First National Bank Texas	Killeen	TX	3285	613950
16473	First National Bank USA	Boutte	LA	22046	714839
10408	First National Bank, Ames, Iowa	Ames	IA	1545	820048
14833	First National Bank, Cortez	Cortez	CO	17872	968155
18278	First National Bankers Bank	Baton Rouge	LA	25247	734538
16487	First National Community Bank	Chatsworth	GA	22092	450632
11412	First National Community Bank	New Richmond	WI	5357	23755
24475	First National Trust Company	Hermitage	PA	57793	3229875
13682	First Neighbor Bank, National Association	Toledo	IL	3747	413646
8752	First Pioneer National Bank	Wray	CO	3063	357553
23393	First Robinson Savings Bank, National Association	Robinson	IL	28105	660271
1493	First Southern National Bank	Lancaster	KY	2700	702612
336	First Tennessee Bank National Association	Memphis	TN	4977	485559
14005	First Texoma National Bank	Durant	OK	13905	388155
9480	First United National Bank	Fryburg	PA	7886	127224
23681	FirstCapital Bank of Texas, National Association	Midland	TX	35028	2746263
13934	First-Lockhart National Bank	Lockhart	TX	13599	631150
20214	Florida Capital Bank, National Association	Jacksonville	FL	26323	188430
24349	Forcht Bank, National Association	Lexington	KY	57415	3141726
14566	Forest Park National Bank and Trust Company	Forest Park	IL	15945	926632
15606	Fort Hood National Bank	Fort Hood	TX	19640	305750
24257	Freedom National Bank	Greenville	RI	57254	3051432
14546	FSNB, National Association	Lawton	OK	16416	125154
24891	Fulton Bank, National Association	Lancaster	PA	7551	474919
5741	Gilmer National Bank	Gilmer	TX	3219	323651
7699	Glens Falls National Bank and Trust Company	Glens Falls	NY	7074	866000
13347	GNBank, National Association	Girard	KS	4673	928056
18558	Golden Bank, National Association	Houston	TX	26223	536059
20862	Golden Pacific Bank, National Association	Sacramento	CA	26881	962966
24671	Goldwater Bank, National Association	Phoenix	AZ	58405	3592047
24268	Grand Bank, National Association	Hamilton	NJ	57274	3093964
6684	Grand Ridge National Bank	Grand Ridge	IL	3674	875132
25152	Grasshopper Bank, National Association	New York	NY 	59113	5210989
23049	Great Plains National Bank	Elk City	OK	34207	2482824
13944	Greenville National Bank	Greenville	OH	13703	295011
15247	Grundy National Bank	Grundy	VA	19011	268828
25053	Guaranty Bank & Trust, National Association	Mt. Pleasant	TX	1208	112163
14149	Haskell National Bank	Haskell	TX	14399	170257
14911	Hawaii National Bank	Honolulu	HI	18296	915065
23773	Heartland National Bank	Sebring	FL	35052	2800491
15401	Heritage Bank, National Association	Spicer	MN	19254	901358
15698	Hiawatha National Bank	Hager City	WI	13058	505550
14062	Hillsdale County National Bank	Hillsdale	MI	14073	682143
15359	Hilltop National Bank	Casper	WY	19184	1454
6635	HNB National Bank	Hannibal	MO	4540	908553
25106	Home Bank, National Association	Lafayette	LA 	28094	929978
9815	Home National Bank	Racine	OH	6680	79127
18763	Home State Bank / National Association	Crystal Lake	IL	12815	696430
15593	Hometown Bank, National Association	Galveston	TX	19603	393953
2503	Hometown National Bank	LA Salle	IL	3691	770639
24522	HSBC Bank USA, National Association	Tysons	VA	57890	413208
24601	HSBC Trust Company (Delaware), National Association	Wilmington	DE	58188	3357620
16857	Huron National Bank	Rogers City	MI	23126	753641
11443	Illinois National Bank	Springfield	IL	3664	925037
12190	Incommons Bank, National Association	Mexia	TX	3342	414858
24440	Industrial and Commercial Bank of China (USA), National Association	New York	NY	24387	1015560
18283	Intercredit Bank, National Association	Miami	FL	25258	44433
2782	Intrust Bank, National Association	Wichita	KS	4799	557858
15292	Inwood National Bank	Dallas	TX	19080	913753
8	JPMorgan Chase Bank, National Association	Columbus	OH	628	852218
14330	Junction National Bank	Junction	TX	15078	741152
20622	KEB Hana Bank USA, National Association	Fort Lee	NJ	26790	609609
25051	Key National Trust Company of Delaware	Wilmington	DE	59069	4368351
14761	KeyBank National Association	Cleveland	OH	17534	280110
23183	Keystone Bank, National Association	Austin	TX	34456	1429028
9536	Kingston National Bank	Kingston	OH	6616	966722
12968	Kleberg Bank, National Association	Kingsville	TX	3286	556459
15168	Kress National Bank	Kress	TX	18892	995955
25149	Lake Forest Bank & Trust Company, National Association	Lake Forest	IL 	27589	1917301
16357	Lakeside National Bank	Rockwall	TX	21693	32766
17106	Lamar National Bank	Paris	TX	23597	2161
23038	Landmark National Bank	Manhattan	KS	5826	481177
2360	LCNB National Bank	Lebanon	OH	6623	785923
24131	Leader Bank, National Association	Arlington	MA	57134	3109146
22210	Ledyard National Bank	Norwich	VT	33418	1863097
24573	Legacy National Bank	Springdale	AR	57953	3306280
24338	Legacy Trust Company, National Association	Houston	TX	57380	2597223
4265	Legend Bank, National Association	Bowie	TX	3108	100357
24378	Liberty National Bank	Sioux City	IA	57505	3140822
5425	Liberty National Bank	Ada	OH	6516	130813
23516	Liberty National Bank	Lawton	OK	11522	68756
17606	Llano National Bank	Llano	TX	24305	946555
23730	Lone Star Capital Bank, National Association	San Antonio	TX	35015	2788656
17611	Lone Star National Bank	Pharr	TX	24347	842460
25153	Malvern Bank, National Association	Paoli	PA 	27861	676478
14492	Mason City National Bank	Mason City	IL	16198	108746
17269	Mccurtain County National Bank	Broken Bow	OK	23798	423159
14488	Merchants Bank, National Association	Winona	MN	8866	779351
13838	Midamerica National Bank	Canton	IL	3612	510938
18484	Midsouth Bank, National Association	Lafayette	LA	25884	223331
10354	Midstates Bank, National Association	Council Bluffs	IA 	4465	728948
23797	Midwest Bank, National Association	Pierce	NE	13255	669555
13835	Millbury National Bank	Millbury	MA	2616	881900
6417	Minnesota National Bank	Sauk Centre	MN	5249	799751
13972	Minnstar Bank National Association	Lake Crystal	MN	13809	89854
17176	Mission National Bank	San Francisco	CA	23749	519360
16629	Modern Bank, National Association	New York	NY 	22398	2398701
8899	Moody National Bank	Galveston	TX	3210	253356
24908	Morgan Stanley Bank, N.A.	Salt Lake City	UT	32992	1456501
24981	Morgan Stanley Private Bank, National Association	Purchase	NY	34221	2489805
9610	Mountain Valley Bank, National Association	Elkins	WV	6786	1011432
21541	MUFG Union Bank, National Association	San Francisco	CA	22826	212465
23523	Natbank, National Association	Hollywood	FL	33959	2233875
25145	National Advisors Trust Company	Kansas City	MO 	57160	2809373
3906	National Bank & Trust	La Grange	TX	3289	792659
14109	National Bank of Commerce	Superior	WI	14266	775456
15070	National Bank of New York City	Flushing	NY	18734	502111
14617	National Bank of St. Anne	St. Anne	IL	16752	760340
25093	National Cooperative Bank, N.A.	Hillsboro	OH 	32612	99376
13879	National Exchange Bank and Trust	Fond Du Lac	WI	10044	722544
4097	National United	Gatesville	TX	3214	322056
21158	Native American Bank, National Association	Denver	CO	27026	664653
1354	NBT Bank, National Association	Norwich	NY	7230	702117
23645	Nebraskaland National Bank	North Platte	NE	34811	2667957
22770	Neighborhood National Bank	San Diego	CA	34548	2333140
15161	Neighborhood National Bank	Mora	MN	18885	705556
24961	Neuberger Berman Trust Company National Association	New York	NY	59046	4149037
24966	Neuberger Berman Trust Company of Delaware National Association	Wilmington	DE	59047	4146830
23421	New Covenant Trust Company, National Association	Jeffersonville	IN	34732	2641827
24858	New Horizon Bank, National Association	Powhatan	VA	58857	3816154
16840	New Omni Bank, National Association	Alhambra	CA	23086	300063
14240	Newfield National Bank	Newfield	NJ	14646	632410
6112	Newfirst National Bank	El Campo	TX	3183	938859
5073	NexTier Bank, National Association	Kittanning	PA	7900	18827
24107	Nicolet National Bank	Green Bay	WI	57038	2941068
23547	North Georgia National Bank	Calhoun	GA	34662	2769954
24626	Northern California National Bank	Chico	CA	58224	3435948
6863	Northern Interstate Bank, National Association	Norway	MI	13784	289056
24372	Northwestern Bank, National Association	Dilworth	MN	9746	207555
24849	Oak View National Bank	Warrenton	VA	58827	3816190
25150	OceanFirst Bank, National Association	Toms River	NJ 	28359	85472
24730	Old Dominion National Bank	North Garden	VA	58504	3610718
8846	Old National Bank	Evansville	IN	3832	208244
24646	Old Plank Trail Community Bank, National Association	Mokena	IL	58314	3404207
23702	Old Point Trust & Financial Services, National Association	Newport News	VA	35248	2797210
4596	Old Second National Bank	Aurora	IL	3603	936136
7748	Ozona National Bank	Ozona	TX	3376	780263
20010	Pacific National Bank	Miami	FL	26299	577137
17967	Panola National Bank	Carthage	TX	24763	1013856
22545	Patriot Bank, National Association	Stamford	CT	33928	2236821
14418	Peoples National Bank of Kewanee	Kewanee	IL	926	823133
9408	Peoples National Bank, N.A.	Mcleansboro	IL	3809	375043
25103	People's United Bank, National Association 	Bridgeport	CT 	27334	613307
20493	Pike National Bank	Mccomb	MS	26379	880332
15058	Pikes Peak National Bank	Colorado Springs	CO	17782	643658
21060	Pioneer Trust Bank, National Association	Salem	OR	19827	852973
1316	PNC Bank, National Association	Wilmington	DE	6384	817824
9924	Powell Valley National Bank	Jonesville	VA	6863	31826
17735	Progressive National Bank	Mansfield	LA	24443	675855
16405	Quail Creek Bank, National Association	Oklahoma City	OK	21848	507152
22905	Quantum National Bank	Suwanee	GA	34110	2354387
6207	Queensborough National Bank & Trust Company	Louisville	GA	2138	960935
24583	Rabobank, National Association	Roseville	CA	23364	877369
5886	Ramsey National Bank	Devils Lake	ND	3914	987352
3717	Range Bank, National Association	Marquette	MI	5072	355559
24914	Raymond James Bank, National Association	St. Petersburg	FL 	33893	2193616
24771	Raymond James Trust, National Association	St. Petersburg	FL	33879	2163477
23416	RBC Bank (Georgia), National Association	Atlanta	GA	26342	3783948
24559	Recontrust Company, National Association	Simi Valley	CA	58026	3313943
15482	Relyance Bank, National Association	Pine Bluff	AR	19371	49241
